Real Price Paid,Interest Rate,Interest Rate % Change 1Q,Interest Rate % Change 2Q,Interest Rate % Change 4Q,FTSE 100,FTSE 100 % Change 1Q,FTSE 100 % Change 2Q,FTSE 100 % Change 4Q,CVM SA GDP (m),CVM SA GDP % Change 1Q,CVM SA GDP % Change 2Q,CVM SA GDP % Change 4Q,Date of Transaction,Number of Bedrooms,Number of Bathrooms,Number of Reception Rooms,Floor Area,Property Type,New Build?,Estate Type,Latitude,Longitude,Distance to The Lake (Meters),Time to The Lake (Seconds),Distance to The Orchard (Meters),Time to The Orchard (Seconds),Distance to Clarence Park (Meters),Time to Clarence Park (Seconds),Distance to Oysterfields (Meters),Time to Oysterfields (Seconds),Distance to Victoria Playing Field (Meters),Time to Victoria Playing Field (Seconds),Distance to Highfield Park (Meters),Time to Highfield Park (Seconds),Distance to Birklands Park (Meters),Time to Birklands Park (Seconds),Distance to The Wick (Meters),Time to The Wick (Seconds),Distance to St Albans City (Meters),Time to St Albans City (Seconds),Distance to St Albans Abbey (Meters),Time to St Albans Abbey (Seconds),Stations Within 5 Minute Walk,Stations Within 10 Minute Walk,Stations Within 15 Minute Walk
124242,6.13,8.2,16.3,12.2,3027.0,1.8731,2.3224,-10.8457,316003,0.42278080,1.02309155,3.27022212,34705.00,3,1,2,,0,FALSE,0,51.7462108,-0.3290585,2302,1718,1236,948,1548,1116,2173,1633,1860,1413,2809,2085,2084,1530,2853,2180,847,684,1524,1120,0,0,1
90833,6.13,8.2,16.3,12.2,3027.0,1.8731,2.3224,-10.8457,316003,0.42278080,1.02309155,3.27022212,34705.00,2,,1,448,2,FALSE,0,51.7482869,-0.3351567,1874,1391,791,607,1906,1377,1794,1340,1482,1120,3334,2478,2613,1920,2861,2170,885,703,1187,884,0,0,2
177273,6.13,8.2,16.3,12.2,3027.0,1.8731,2.3224,-10.8457,316003,0.42278080,1.02309155,3.27022212,34705.00,4,2,2,,1,FALSE,0,51.7568785,-0.3061161,4494,3359,3480,2612,3299,2448,3734,2792,3244,2436,2015,1519,3128,2351,760,564,2149,1661,3730,2870,0,0,0
105682,6.13,8.2,16.3,12.2,3068.5,-1.9554,-0.0945,-9.8550,316003,0.42278080,1.02309155,3.27022212,34715.00,2,1,2,,2,FALSE,0,51.7528356,-0.3108356,3797,2875,2754,2127,2638,1955,3257,2491,2766,2135,1821,1364,2787,2088,1178,892,1445,1124,3070,2376,0,0,0
109091,6.13,8.2,16.3,12.2,3006.8,0.3991,-3.6451,-14.4838,316003,0.42278080,1.02309155,3.27022212,34726.00,2,1,1,,2,FALSE,0,51.7479884,-0.3074718,4046,3052,3003,2304,2094,1508,3617,2758,3127,2402,1210,898,2114,1547,1849,1407,1694,1302,3172,2396,0,0,0
115385,6.63,15.1,22.6,22.6,3099.0,0.1904,-2.2330,-11.1649,316003,0.42278080,1.02309155,3.27022212,34740.00,2,1,1,,2,FALSE,0,51.7473772,-0.3323256,2058,1533,992,763,1779,1298,1956,1467,1643,1246,3102,2314,2377,1759,2706,2081,699,584,1372,1026,0,1,1
88235,6.63,15.1,22.6,22.6,3048.9,0.3641,-4.3917,-9.0229,316003,0.42278080,1.02309155,3.27022212,34754.00,2,1,2,597,2,FALSE,0,51.7482939,-0.3350614,1877,1393,794,609,1909,1379,1791,1337,1478,1117,3338,2480,2616,1922,2857,2167,881,700,1190,886,0,0,2
130845,6.63,15.1,22.6,22.6,3022.0,-0.5923,-6.6016,-8.7823,316003,0.42278080,1.02309155,3.27022212,34758.00,2,2,2,857.9,2,FALSE,0,51.7475971,-0.3321053,2087,1551,1021,781,1808,1316,1927,1442,1614,1221,3090,2311,2365,1756,2677,2056,671,559,1400,1044,0,1,1
122939,6.63,7.5,22.6,22.6,2991.5,-0.1972,-6.4115,-8.7782,316003,0.42278080,1.02309155,3.27022212,34768.00,3,1,2,695,2,FALSE,0,51.7355835,-0.3423241,2374,1754,1949,1485,1792,1265,3208,2411,2896,2190,4184,3103,3148,2278,4776,3617,2811,2117,1161,835,0,0,1
100375,6.63,7.5,22.6,22.6,2991.5,-0.1972,-6.4115,-8.7782,316003,0.42278080,1.02309155,3.27022212,34768.00,2,1,1,,2,FALSE,0,51.7470547,-0.3043736,4275,3227,3233,2478,2187,1591,3846,2933,3356,2577,867,647,1979,1479,1731,1324,1923,1476,3402,2571,0,0,0
63718,6.63,7.5,15.1,22.6,3008.7,1.9510,-3.9884,-6.4579,316003,0.42278080,1.02309155,3.27022212,34772.00,2,-,-,,2,FALSE,0,51.7499891,-0.3314592,2195,1641,1147,877,2153,1575,1844,1369,1532,1149,2984,2212,2672,1971,2482,1872,476,375,1618,1194,0,1,1
122939,6.63,7.5,15.1,22.6,3149.4,1.9718,4.2040,-2.0417,316003,0.42278080,1.02309155,3.27022212,34781.00,2,1,2,646,2,FALSE,0,51.7502152,-0.3316713,2173,1625,1125,860,2176,1591,1822,1352,1509,1132,3007,2228,2694,1987,2505,1888,499,392,1595,1178,0,1,1
146927,6.63,7.5,15.1,22.6,3125.3,1.4047,2.7293,-0.3520,316003,0.42278080,1.02309155,3.27022212,34787.00,3,1,2,,2,FALSE,0,51.7492228,-0.3400809,1410,1040,361,276,2219,1591,1456,1073,1143,853,3665,2707,2926,2135,3054,2330,1264,983,876,672,0,0,1
186567,6.63,7.5,15.1,22.6,3214.9,5.9691,3.7388,1.7077,317171,0.36825561,0.78947949,2.50180502,34802.00,5,3,4,,0,FALSE,0,51.7489794,-0.3300487,2330,1762,1282,998,1992,1458,2135,1595,1822,1375,2962,2192,2511,1855,2449,1852,455,356,1668,1254,0,1,1
117910,6.63,7.5,15.1,22.6,3214.9,5.9691,3.7388,1.7077,317171,0.36825561,0.78947949,2.50180502,34802.00,3,2,1,925,2,FALSE,0,51.7465598,-0.306508,4176,3149,3134,2401,1962,1413,3747,2855,3257,2500,1003,758,1982,1453,1917,1456,1824,1399,3303,2494,0,0,0
402910,6.63,7.5,15.1,22.6,3188.9,4.3118,3.4651,1.7718,317171,0.36825561,0.78947949,2.50180502,34808.00,5,4,3,,0,FALSE,0,51.7563064,-0.3272999,2733,1991,1720,1244,2847,2060,2112,1539,1622,1184,3160,2298,3320,2397,1678,1222,839,589,2354,1764,0,1,1
129851,6.63,7.5,15.1,22.6,3220.3,6.6298,5.5585,2.0309,317171,0.36825561,0.78947949,2.50180502,34817.00,3,1,1,,1,FALSE,0,51.7490804,-0.3394277,1457,1076,409,311,2171,1558,1504,1109,1191,888,3618,2673,2878,2101,3101,2366,1217,950,923,708,0,0,1
267062,6.63,7.5,15.1,22.6,3212.8,6.5675,4.0868,2.9476,317171,0.36825561,0.78947949,2.50180502,34820.00,3,2,1,,1,FALSE,0,51.7512285,-0.3379382,1623,1167,581,419,2564,1821,1313,924,1000,704,3420,2504,3102,2254,2815,2095,912,668,1195,898,0,0,2
204748,6.63,0.0,15.1,22.6,3283.5,7.2514,5.4210,5.7591,317171,0.36825561,0.78947949,2.50180502,34823.00,4,4,2,1635,1,FALSE,0,51.7481954,-0.3307363,2226,1693,1178,929,1888,1389,2031,1526,1718,1305,3046,2272,2407,1785,2544,1932,538,435,1565,1184,0,1,1
121662,6.63,0.0,15.1,22.6,3258.7,6.2970,4.1796,4.2317,317171,0.36825561,0.78947949,2.50180502,34838.00,2,1,2,588,2,FALSE,0,51.7500094,-0.3315758,2187,1635,1139,871,2161,1581,1836,1363,1523,1143,2992,2218,2680,1977,2490,1878,484,381,1610,1188,0,1,1
119436,6.63,0.0,15.1,22.6,3258.7,6.2970,4.1796,4.2317,317171,0.36825561,0.78947949,2.50180502,34838.00,2,1,1,585.8,2,FALSE,0,51.7510205,-0.3222356,2908,2190,1866,1442,2555,1895,2368,1806,1878,1451,2344,1732,2735,2022,1927,1436,557,440,2460,1848,0,1,1
235905,6.63,0.0,15.1,22.6,3325.8,8.3258,8.9182,8.8580,317171,0.36825561,0.78947949,2.50180502,34845.00,4,3,2,,1,FALSE,0,51.7474238,-0.3386747,1667,1259,619,495,2156,1575,1714,1292,1401,1071,3603,2690,2863,2118,3205,2456,1252,990,1059,832,0,0,1
122404,6.63,0.0,15.1,22.6,3325.8,8.3258,8.9182,8.8580,317171,0.36825561,0.78947949,2.50180502,34845.00,3,2,2,1272,2,FALSE,1,51.740332,-0.3187056,3278,2439,2212,1669,996,707,3148,2354,2835,2133,1975,1459,1251,904,3241,2442,1690,1280,2383,1771,0,0,0
121884,6.63,0.0,15.1,22.6,3307.1,8.1219,7.5111,10.3021,317171,0.36825561,0.78947949,2.50180502,34849.00,3,2,1,1230,2,FALSE,0,51.7487033,-0.3343982,1938,1434,855,650,1970,1420,1727,1282,1415,1061,3326,2481,2603,1928,2794,2112,818,644,1251,927,0,0,1
130564,6.63,0.0,15.1,22.6,3339.0,8.9997,9.5178,11.8598,317171,0.36825561,0.78947949,2.50180502,34852.00,3,2,2,1007,2,FALSE,0,51.7473853,-0.3076508,4151,3129,3109,2380,2026,1459,3723,2835,3232,2479,1130,850,2046,1498,1917,1456,1799,1378,3278,2473,0,0,0
326409,6.63,0.0,7.5,22.6,3374.0,9.7066,12.0362,10.1334,317171,0.36825561,0.78947949,2.50180502,34866.00,5,3,3,,2,FALSE,0,51.7496365,-0.3300064,2303,1719,1255,954,2026,1482,1952,1447,1639,1226,2876,2135,2545,1879,2374,1794,368,298,1725,1272,1,1,1
89019,6.63,0.0,7.5,22.6,3403.1,7.4550,9.2798,12.4798,317171,0.36825561,0.78947949,2.50180502,34873.00,2,1,2,,2,FALSE,0,51.7461625,-0.314403,3593,2657,2528,1887,1697,1212,3174,2393,2747,2124,1616,1183,1846,1345,2214,1674,1191,928,2699,1989,0,0,0
110534,6.63,0.0,7.5,22.6,3292.4,4.6045,6.9281,10.2114,317171,0.36825561,0.78947949,2.50180502,34880.00,2,1,2,,2,FALSE,0,51.7367047,-0.3118964,3928,2929,2863,2159,1215,872,3799,2844,3486,2624,1410,1067,536,370,3270,2522,2340,1770,3066,2248,0,0,0
100371,6.63,0.0,7.5,22.6,3292.4,4.6045,6.9281,10.2114,317171,0.36825561,0.78947949,2.50180502,34880.00,2,1,2,,2,FALSE,0,51.7473491,-0.3323582,2055,1531,988,760,1775,1296,1960,1470,1647,1250,3098,2312,2374,1757,2709,2084,703,588,1368,1024,0,1,1
129822,6.63,0.0,7.5,22.6,3292.4,4.6045,6.9281,10.2114,317171,0.36825561,0.78947949,2.50180502,34880.00,4,2,2,1186.5,1,FALSE,0,51.753814,-0.31171,3788,2845,2746,2097,2805,2078,3248,2461,2758,2106,1988,1487,2954,2211,1030,782,1436,1095,3237,2499,0,0,0
415430,6.63,0.0,7.5,22.6,3292.4,4.6045,6.9281,10.2114,317171,0.36825561,0.78947949,2.50180502,34880.00,6,3,5,3216.3,0,FALSE,0,51.7554172,-0.3080981,4288,3193,3245,2445,3147,2332,3708,2774,3217,2419,1863,1402,2976,2234,734,546,1936,1443,3578,2753,0,0,0
94955,6.63,0.0,7.5,22.6,3292.4,4.6045,6.9281,10.2114,317171,0.36825561,0.78947949,2.50180502,34880.00,2,1,1,723.5,2,FALSE,0,51.7477401,-0.3046449,4197,3166,3154,2418,2266,1647,3768,2872,3278,2517,945,704,2058,1536,1653,1263,1845,1416,3323,2510,0,0,0
131148,6.63,0.0,7.5,22.6,3420.3,6.4527,11.4990,13.7883,320102,0.91564564,1.28052933,2.29051990,34887.00,4,2,2,,2,FALSE,0,51.7531154,-0.3116428,3757,2843,2715,2094,2728,2019,3217,2459,2727,2103,1911,1428,2877,2152,1106,837,1405,1092,3160,2440,0,0,0
107303,6.63,0.0,7.5,22.6,3420.3,6.4527,11.4990,13.7883,320102,0.91564564,1.28052933,2.29051990,34887.00,2,1,1,607.2,2,FALSE,0,51.7473784,-0.3063372,4157,3133,3115,2385,2054,1479,3729,2839,3238,2484,1095,823,2074,1518,1825,1389,1806,1383,3284,2477,0,0,0
64829,6.63,0.0,7.5,22.6,3452.4,7.6295,11.6151,13.5616,320102,0.91564564,1.28052933,2.29051990,34892.00,2,-,-,,2,FALSE,0,51.7497616,-0.3317822,2233,1674,1185,909,2116,1552,1882,1402,1569,1181,3045,2263,2635,1949,2543,1922,537,426,1656,1227,0,1,1
260805,6.63,0.0,7.5,22.6,3465.3,7.2259,12.7637,14.1488,320102,0.91564564,1.28052933,2.29051990,34893.00,5,2,4,2512.5,1,FALSE,0,51.7575879,-0.3118512,3912,2925,2899,2178,3228,2373,3152,2358,2662,2003,2411,1782,3377,2506,606,457,1855,1364,3533,2698,0,0,0
146051,6.63,0.0,7.5,22.6,3475.6,7.5613,14.1386,10.6572,320102,0.91564564,1.28052933,2.29051990,34911.00,3,1,3,,1,FALSE,0,51.7538759,-0.3116875,3795,2850,2753,2102,2812,2083,3255,2466,2765,2111,1995,1492,2961,2216,1023,777,1444,1100,3244,2504,0,0,0
119151,6.63,0.0,7.5,22.6,3475.6,7.5613,14.1386,10.6572,320102,0.91564564,1.28052933,2.29051990,34911.00,2,1,1,668,2,FALSE,0,51.7522001,-0.3106942,3726,2824,2683,2076,2567,1904,3186,2440,2695,2085,1750,1314,2716,2038,1249,945,1374,1074,2999,2326,0,0,0
159463,6.63,0.0,7.5,22.6,3475.6,7.5613,14.1386,10.6572,320102,0.91564564,1.28052933,2.29051990,34911.00,3,1,3,,2,FALSE,0,51.7495409,-0.3296395,2313,1726,1265,962,2027,1483,1962,1454,1649,1233,2867,2126,2546,1880,2365,1786,359,290,1735,1279,1,1,1
534125,6.63,0.0,0.0,22.6,3462.2,5.6294,10.4904,8.4917,320102,0.91564564,1.28052933,2.29051990,34921.00,6,4,5,3507.5,0,FALSE,0,51.7552749,-0.3227595,2925,2170,1911,1423,2975,2172,2304,1718,1813,1363,2992,2198,3448,2509,1549,1140,780,567,2545,1943,0,1,1
326409,6.63,0.0,0.0,22.6,3462.2,5.6294,10.4904,8.4917,320102,0.91564564,1.28052933,2.29051990,34921.00,5,2,4,,2,FALSE,0,51.7495875,-0.3300576,2328,1744,1280,979,2020,1478,2016,1499,1703,1278,2882,2140,2539,1875,2381,1799,375,303,1696,1274,0,1,1
459942,6.63,0.0,0.0,22.6,3468.7,4.8231,11.9699,8.5853,320102,0.91564564,1.28052933,2.29051990,34928.00,6,4,2,,0,FALSE,0,51.7550701,-0.3246147,2799,2075,1785,1328,2849,2077,2178,1623,1687,1268,2975,2180,3322,2415,1675,1227,654,472,2419,1849,0,1,1
259644,6.63,0.0,0.0,22.6,3468.7,4.8231,11.9699,8.5853,320102,0.91564564,1.28052933,2.29051990,34928.00,5,2,3,,1,FALSE,0,51.7551276,-0.3210097,3043,2260,2030,1513,3062,2236,2422,1808,1932,1452,2874,2115,3265,2405,1428,1056,867,631,2664,2033,0,0,1
137982,6.63,0.0,0.0,22.6,3475.4,5.3145,12.1396,8.2868,320102,0.91564564,1.28052933,2.29051990,34929.00,2,1,2,887,2,FALSE,0,51.7477874,-0.3376439,1718,1294,670,530,2006,1463,1765,1327,1452,1107,3453,2578,2713,2006,3055,2344,1102,878,1110,867,0,0,2
228951,6.63,0.0,0.0,22.6,3484.7,3.7995,13.3354,6.9188,320102,0.91564564,1.28052933,2.29051990,34943.00,5,2,3,,1,FALSE,0,51.7489382,-0.3301687,2284,1732,1236,968,1946,1428,2089,1565,1776,1344,2952,2197,2465,1824,2450,1857,444,361,1623,1223,0,1,1
138700,6.63,0.0,0.0,22.6,3548.5,5.2755,16.6239,9.9310,320102,0.91564564,1.28052933,2.29051990,34950.00,2,1,2,,2,FALSE,0,51.7478692,-0.3378543,1693,1275,645,511,2047,1493,1739,1308,1426,1088,3494,2609,2754,2037,3096,2374,1143,908,1084,848,0,0,1
88552,6.63,0.0,0.0,15.1,3575.9,6.4963,14.3824,13.5770,320102,0.91564564,1.28052933,2.29051990,34957.00,2,1,3,995,1,FALSE,0,51.7488401,-0.3343684,1908,1437,860,673,1987,1431,1713,1270,1400,1050,3312,2469,2589,1916,2780,2100,804,633,1268,939,0,0,1
96012,6.63,0.0,0.0,15.1,3535.4,4.8509,12.3183,13.4497,320102,0.91564564,1.28052933,2.29051990,34961.00,2,1,3,885,2,FALSE,0,51.7496195,-0.3309896,2293,1717,1245,952,2056,1507,1942,1445,1629,1224,2985,2217,2575,1903,2483,1877,477,381,1716,1270,0,1,1
71640,6.63,0.0,0.0,15.1,3546.9,4.3334,13.1495,13.2003,320102,0.91564564,1.28052933,2.29051990,34962.00,2,1,1,555.5,2,FALSE,0,51.7348602,-0.340772,2625,1975,2201,1706,1823,1317,3460,2632,3147,2412,4215,3154,3180,2329,4829,3685,2863,2185,1413,1056,0,0,0
83456,6.63,0.0,0.0,15.1,3543.7,4.8396,11.7391,14.6683,320102,0.91564564,1.28052933,2.29051990,34964.00,1,1,-,,2,FALSE,0,51.7485504,-0.3374205,1611,1196,563,431,2017,1454,1658,1229,1345,1008,3464,2569,2724,1997,3027,2305,1115,884,1077,828,0,0,2
369276,6.63,0.0,0.0,15.1,3490.0,5.6103,10.4499,12.8940,320102,0.91564564,1.28052933,2.29051990,34971.00,6,3,3,,1,FALSE,0,51.7556579,-0.3118819,3908,2930,2894,2182,3015,2225,3148,2362,2658,2007,2198,1634,3164,2358,819,621,1632,1230,3447,2646,0,0,0
107090,6.63,0.0,0.0,15.1,3490.0,5.6103,10.4499,12.8940,320102,0.91564564,1.28052933,2.29051990,34971.00,2,1,2,700.3,2,FALSE,0,51.7527652,-0.3109077,3789,2869,2747,2121,2631,1949,3249,2485,2759,2130,1814,1359,2780,2083,1186,898,1438,1119,3063,2371,0,0,0
102071,6.63,0.0,0.0,15.1,3544.3,4.2406,10.2249,16.1950,320514,0.12854353,1.04301216,1.82425729,34978.00,2,1,1,709,2,FALSE,1,51.7519508,-0.3231441,2844,2141,1802,1393,2651,1975,2304,1747,1814,1392,2441,1812,2832,2102,1798,1334,2001,1601,321,247,1,1,1
86538,6.63,0.0,0.0,15.1,3545.0,2.5839,6.6150,12.4062,320514,0.12854353,1.04301216,1.82425729,35018.00,2,1,2,,2,FALSE,0,51.7495966,-0.3318035,2239,1678,1191,913,2111,1548,1888,1406,1575,1185,3039,2258,2629,1944,2537,1918,531,421,1662,1231,0,1,1
88757,6.63,0.0,0.0,15.1,3618.8,4.1478,8.7709,13.0706,320514,0.12854353,1.04301216,1.82425729,35020.00,2,1,2,,1,FALSE,0,51.7468169,-0.3310959,2126,1580,1059,810,1724,1251,2090,1565,1778,1344,2967,2202,2243,1647,2773,2125,767,628,1439,1073,0,0,1
125000,6.63,0.0,0.0,15.1,3618.8,4.1478,8.7709,13.0706,320514,0.12854353,1.04301216,1.82425729,35020.00,2,-,-,,2,FALSE,0,51.7499326,-0.3306683,2248,1679,1200,915,2100,1536,1897,1407,1585,1187,2931,2173,2619,1932,2429,1833,423,337,1671,1233,0,1,1
93935,6.63,0.0,0.0,15.1,3618.8,4.1478,8.7709,13.0706,320514,0.12854353,1.04301216,1.82425729,35020.00,2,1,1,,2,FALSE,0,51.7528476,-0.3109086,3799,2876,2756,2128,2640,1956,3259,2492,2768,2137,1823,1365,2789,2089,1177,891,1447,1126,3072,2377,0,0,0
134615,6.63,0.0,0.0,15.1,3608.9,2.9261,8.3848,15.8248,320514,0.12854353,1.04301216,1.82425729,35027.00,2,1,2,804,1,FALSE,0,51.7497959,-0.3305614,2261,1688,1213,924,2088,1527,1910,1416,1597,1196,2919,2165,2606,1924,2417,1824,411,328,1683,1241,0,1,1
248521,6.63,0.0,0.0,15.1,3608.9,2.9261,8.3848,15.8248,320514,0.12854353,1.04301216,1.82425729,35027.00,5,4,2,2213.8,2,FALSE,0,51.749463,-0.3301375,2343,1773,1295,1008,2005,1469,2031,1510,1718,1290,2897,2152,2524,1865,2396,1811,389,315,1681,1264,0,1,1
113905,6.63,0.0,0.0,15.1,3608.9,2.9261,8.3848,15.8248,320514,0.12854353,1.04301216,1.82425729,35027.00,2,-,-,,2,FALSE,0,51.7499891,-0.3314592,2195,1641,1147,877,2153,1575,1844,1369,1532,1149,2984,2212,2672,1971,2482,1872,476,375,1618,1194,0,1,1
355030,6.63,0.0,0.0,15.1,3608.9,2.9261,8.3848,15.8248,320514,0.12854353,1.04301216,1.82425729,35027.00,5,3,4,,0,FALSE,0,51.7489794,-0.3300487,2330,1762,1282,998,1992,1458,2135,1595,1822,1375,2962,2192,2511,1855,2449,1852,455,356,1668,1254,0,1,1
107988,6.63,0.0,0.0,15.1,3667.5,4.5017,9.8269,16.5999,320514,0.12854353,1.04301216,1.82425729,35033.00,2,1,2,,2,FALSE,0,51.7364675,-0.3120869,3963,2958,2898,2188,1250,901,3834,2873,3521,2652,1445,1096,543,377,3305,2551,2375,1798,3101,2277,0,0,0
88750,6.63,0.0,0.0,15.1,3667.5,4.5017,9.8269,16.5999,320514,0.12854353,1.04301216,1.82425729,35033.00,2,1,2,550.1,2,FALSE,0,51.7498465,-0.330876,2238,1672,1190,908,2110,1543,1888,1400,1575,1180,2941,2181,2629,1940,2439,1840,433,344,1661,1225,0,1,1
437500,6.38,-3.9,-3.9,3.9,3660.2,2.3032,8.6498,18.2094,320514,0.12854353,1.04301216,1.82425729,35048.00,4,4,3,3362,0,FALSE,0,51.757559,-0.328686,2616,1901,1603,1154,3167,2275,1856,1334,1366,979,3480,2514,3640,2613,1692,1213,1159,804,2237,1674,0,0,1
122059,6.38,-3.9,-3.9,3.9,3660.2,2.3032,8.6498,18.2094,320514,0.12854353,1.04301216,1.82425729,35048.00,2,1,1,679,2,FALSE,0,51.7474921,-0.3321865,2074,1543,1008,773,1795,1308,1940,1453,1627,1233,3103,2322,2378,1767,2690,2067,683,571,1387,1036,0,1,1
147493,6.38,-3.9,-3.9,3.9,3709.2,5.2383,10.7570,17.4323,323457,0.90985819,1.03723215,2.30447942,35067.00,2,1,3,885,2,FALSE,0,51.7496195,-0.3309896,2293,1717,1245,952,2056,1507,1942,1445,1629,1224,2985,2217,2575,1903,2483,1877,477,381,1716,1270,0,1,1
184366,6.38,-3.9,-3.9,3.9,3648.7,4.7496,5.5253,16.3921,323457,0.90985819,1.03723215,2.30447942,35075.00,4,2,2,1708,1,FALSE,0,51.7573195,-0.3069233,4431,3312,3418,2565,3361,2492,3671,2745,3181,2390,2078,1563,3190,2395,698,517,2212,1705,3793,2914,0,0,0
126475,6.38,-3.9,-3.9,3.9,3665.1,2.7994,6.0108,16.2779,323457,0.90985819,1.03723215,2.30447942,35080.00,3,1,2,961,2,FALSE,0,51.753518,-0.3117287,3779,2838,2737,2089,2772,2051,3239,2454,2749,2098,1955,1461,2921,2185,1062,806,1427,1087,3204,2473,0,0,0
128319,6.13,-8.2,-8.2,0.0,3726.1,5.2897,7.5307,19.7767,323457,0.90985819,1.03723215,2.30447942,35090.00,4,2,2,,1,FALSE,0,51.7469446,-0.3067742,4215,3177,3173,2429,2002,1441,3787,2883,3296,2528,1043,786,2021,1481,1878,1427,1864,1427,3342,2522,0,0,0
134218,6.13,-8.2,-8.2,0.0,3726.1,5.2897,7.5307,19.7767,323457,0.90985819,1.03723215,2.30447942,35090.00,2,1,2,,2,FALSE,0,51.7499687,-0.3314125,2199,1644,1151,879,2149,1572,1848,1372,1536,1151,2980,2209,2668,1968,2478,1869,472,373,1622,1197,0,1,1
103245,6.13,-8.2,-8.2,0.0,3756.6,6.3914,7.4802,20.5611,323457,0.90985819,1.03723215,2.30447942,35095.00,3,2,3,1250.16,1,FALSE,0,51.7520923,-0.3058704,4096,3091,3054,2343,2721,1980,3556,2707,3066,2351,1440,1075,2552,1907,1154,889,1744,1341,3205,2455,0,0,0
128319,6.13,-8.2,-8.2,0.0,3756.6,6.3914,7.4802,20.5611,323457,0.90985819,1.03723215,2.30447942,35095.00,3,1,1,,2,FALSE,0,51.7619911,-0.325707,3091,2252,2077,1504,3955,2862,2331,1685,1840,1329,4327,3155,4487,3254,1812,1282,2006,1445,2711,2025,0,0,0
87021,6.13,-8.2,-8.2,0.0,3756.6,6.3914,7.4802,20.5611,323457,0.90985819,1.03723215,2.30447942,35095.00,4,1,2,1722,1,FALSE,0,51.7416375,-0.3446054,1608,1198,1184,929,2024,1456,2443,1855,2130,1634,4343,3242,3352,2449,4041,3112,2306,1811,396,279,1,1,1
129222,6.13,-8.2,-8.2,0.0,3753.3,6.2825,7.8491,20.0224,323457,0.90985819,1.03723215,2.30447942,35096.00,2,1,2,,2,FALSE,0,51.7501132,-0.3312979,2201,1645,1153,881,2148,1571,1850,1373,1537,1152,2978,2208,2666,1967,2477,1868,471,372,1623,1198,0,1,1
49192,6.13,-8.2,-8.2,-8.2,3742.7,5.9983,7.2568,17.0358,323457,0.90985819,1.03723215,2.30447942,35108.00,2,2,2,676.3,2,FALSE,0,51.7523844,-0.3108183,3747,2839,2704,2091,2588,1919,3207,2455,2716,2100,1771,1328,2737,2052,1229,929,1395,1089,3020,2340,0,0,0
157122,6.13,-8.2,-8.2,-8.2,3753.9,3.1967,5.7860,19.5130,323457,0.90985819,1.03723215,2.30447942,35118.00,4,3,4,1608.6,1,FALSE,0,51.753263,-0.3057437,4083,3117,3040,2369,2881,2154,3543,2733,3052,2378,1597,1225,2709,2057,1066,804,1731,1367,3312,2576,0,0,0
122076,5.94,-11.6,-11.6,-11.6,3761.0,3.4007,5.6501,21.3348,323457,0.90985819,1.03723215,2.30447942,35132.00,2,1,1,,2,FALSE,0,51.7618332,-0.3259221,3087,2249,2073,1501,3951,2859,2327,1682,1836,1326,4323,3152,4483,3251,1808,1279,2002,1442,2707,2022,0,0,0
141520,5.94,-11.6,-11.6,-11.6,3761.0,3.4007,5.6501,21.3348,323457,0.90985819,1.03723215,2.30447942,35132.00,3,1,2,952.86,2,FALSE,0,51.7502357,-0.3317181,2169,1622,1121,857,2180,1594,1818,1350,1505,1129,3010,2231,2698,1990,2509,1891,502,395,1592,1175,0,1,1
233918,5.94,-7.4,-11.6,-11.6,3697.3,3.4349,4.3789,16.1577,323457,0.90985819,1.03723215,2.30447942,35143.00,4,2,2,,0,FALSE,0,51.746344,-0.3168461,3618,2662,2552,1891,1864,1326,3271,2457,2844,2187,1782,1297,2013,1459,2312,1738,1288,991,2723,1994,0,0,0
128655,5.94,-7.4,-11.6,-11.6,3689.8,2.3606,3.3958,15.2556,323457,0.90985819,1.03723215,2.30447942,35145.00,3,1,2,1014,0,FALSE,0,51.7512925,-0.3221471,2885,2172,1842,1423,2578,1911,2345,1788,1854,1432,2367,1747,2759,2037,1903,1418,533,421,2484,1863,0,1,1
145760,5.94,-7.4,-11.6,-11.6,3699.2,1.6409,4.2036,15.4493,323457,0.90985819,1.03723215,2.30447942,35146.00,2,1,2,,2,FALSE,0,51.7479102,-0.3379478,1685,1269,637,504,2055,1498,1731,1302,1419,1081,3502,2614,2762,2042,3104,2379,1151,913,1076,842,0,0,1
94614,5.94,-3.2,-11.6,-11.6,3824.8,1.5086,6.1833,16.6257,324609,0.35488850,1.26151770,2.29137208,35174.00,3,1,2,,1,FALSE,0,51.7411211,-0.3445664,1666,1235,1242,966,1918,1361,2501,1892,2188,1672,4400,3280,3274,2374,4098,3149,2363,1849,453,317,0,1,1
152838,5.94,-3.2,-11.6,-11.6,3854.2,2.3533,6.9664,17.3421,324609,0.35488850,1.26151770,2.29137208,35177.00,4,1,2,,1,FALSE,0,51.7515062,-0.3037553,4395,3315,3353,2567,2762,2002,3855,2931,3365,2576,1481,1097,2593,1929,1457,1112,2043,1565,3502,2675,0,0,0
100437,5.94,-3.2,-11.6,-11.6,3826.1,2.6136,7.7651,16.2437,324609,0.35488850,1.26151770,2.29137208,35181.00,3,2,2,,2,FALSE,0,51.7381651,-0.3354422,2263,1680,1823,1401,976,682,2984,2232,2671,2011,3369,2520,2333,1695,4048,3094,2068,1578,989,720,0,0,1
